Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Nickeil Alexander-Walker;SG;25;MIN;1;0;29;7;12;0.583;4;9;0.444;3;3;1;0.75;0;0;0;1;3;4;2;4;0;1;2;18
2;Grayson Allen;SG;28;PHO;1;1;25;0;3;0;0;3;0;0;0;0;0;4;4;1;1;4;5;2;0;0;2;2;4
3;Jarrett Allen;C;25;CLE;1;1;35;6;10;0.6;0;0;0;6;10;0.6;0.6;4;6;0.667;3;15;18;2;2;0;0;1;16
4;Kyle Anderson;PF;30;MIN;1;0;5;1;2;0.5;0;0;0;1;2;0.5;0.5;0;0;0;0;0;0;0;0;0;0;2;2
5;Cole Anthony;PG;23;ORL;1;0;11;0;7;0;0;4;0;0;3;0;0;4;4;1;0;1;1;0;1;0;0;1;4
6;OG Anunoby;SF;26;NYK;1;1;31;5;10;0.5;1;3;0.333;4;7;0.571;0.55;0;0;0;1;3;4;0;1;0;1;2;11
7;Paolo Banchero;PF;21;ORL;1;1;41;9;17;0.529;2;7;0.286;7;10;0.7;0.588;4;8;0.5;1;6;7;5;0;0;9;3;24
8;Nicolas Batum;PF;35;PHI;1;0;26;1;4;0.25;1;4;0.25;0;0;0;0.375;0;0;0;0;2;2;1;0;1;1;0;3
9;Bradley Beal;SG;30;PHO;1;1;37;6;10;0.6;1;3;0.333;5;7;0.714;0.65;2;3;0.667;1;1;2;6;3;0;1;2;15
10;Bojan Bogdanovi?;SF;34;NYK;1;0;25;4;12;0.333;3;6;0.5;1;6;0.167;0.458;2;4;0.5;1;6;7;1;0;0;0;2;13
11;Bol Bol;PF;24;PHO;1;0;4;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
12;Devin Booker;PG;27;PHO;1;1;38;5;16;0.313;2;6;0.333;3;10;0.3;0.375;6;6;1;0;2;2;5;1;0;1;4;18
13;Christian Braun;SG;22;DEN;1;0;18;1;5;0.2;0;2;0;1;3;0.333;0.2;0;0;0;2;3;5;0;0;0;0;2;2
14;Jalen Brunson;PG;27;NYK;1;1;41;8;26;0.308;1;6;0.167;7;20;0.35;0.327;5;6;0.833;5;2;7;7;1;0;5;1;22
15;Kentavious Caldwell-Pope;SG;30;DEN;1;1;37;4;11;0.364;4;10;0.4;0;1;0;0.545;0;0;0;0;2;2;1;3;0;0;3;12
16;Wendell Carter Jr.;C;24;ORL;1;0;15;1;3;0.333;1;2;0.5;0;1;0;0.5;0;0;0;0;2;2;0;0;0;2;2;3
17;Mike Conley;PG;36;MIN;1;1;27;2;12;0.167;0;3;0;2;9;0.222;0.167;0;0;0;2;1;3;7;0;0;1;5;4
18;Anthony Davis;C;30;LAL;1;1;45;12;23;0.522;0;4;0;12;19;0.632;0.522;8;9;0.889;3;11;14;5;0;4;2;3;32
19;Spencer Dinwiddie;PG;30;LAL;1;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;1;0
20;Donte DiVincenzo;SG;27;NYK;1;1;24;3;10;0.3;2;5;0.4;1;5;0.2;0.4;0;0;0;0;2;2;2;1;1;2;0;8
21;Kevin Durant;PF;35;PHO;1;1;39;11;17;0.647;2;2;1;9;15;0.6;0.706;7;9;0.778;0;7;7;1;1;1;5;1;31
22;Anthony Edwards;SG;22;MIN;1;1;36;14;24;0.583;4;8;0.5;10;16;0.625;0.667;1;2;0.5;1;8;9;6;2;0;6;4;33
23;Joel Embiid;C;29;PHI;1;1;37;8;22;0.364;2;8;0.25;6;14;0.429;0.409;11;12;0.917;3;5;8;6;2;0;2;3;29
24;Drew Eubanks;C;26;PHO;1;0;9;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;2;0
25;Markelle Fultz;PG;25;ORL;1;0;13;0;4;0;0;0;0;0;4;0;0;0;0;0;0;3;3;1;0;0;0;2;0
26;Darius Garland;PG;24;CLE;1;1;32;6;11;0.545;2;6;0.333;4;5;0.8;0.636;0;0;0;0;3;3;8;1;0;5;4;14
27;Luka Garza;C;25;MIN;1;0;3;2;2;1;1;1;1;1;1;1;1.25;0;0;0;0;1;1;0;0;0;0;0;5
28;Rudy Gobert;C;31;MIN;1;1;37;4;6;0.667;0;0;0;4;6;0.667;0.667;6;7;0.857;6;10;16;2;0;0;1;4;14
29;Aaron Gordon;PF;28;DEN;1;1;32;5;11;0.455;0;3;0;5;8;0.625;0.455;2;2;1;6;5;11;7;0;0;1;2;12
30;Eric Gordon;SG;35;PHO;1;0;21;0;5;0;0;4;0;0;1;0;0;0;0;0;0;2;2;1;1;1;2;1;0
31;Rui Hachimura;PF;25;LAL;1;1;31;2;4;0.5;1;2;0.5;1;2;0.5;0.625;2;2;1;0;3;3;1;0;0;1;1;7
32;Gary Harris;SG;29;ORL;1;1;33;0;6;0;0;5;0;0;1;0;0;0;0;0;1;1;2;0;3;0;0;2;0
33;Tobias Harris;PF;31;PHI;1;1;31;3;7;0.429;1;4;0.25;2;3;0.667;0.5;0;0;0;0;9;9;2;0;0;2;4;7
34;Josh Hart;SF;28;NYK;1;1;42;5;12;0.417;4;8;0.5;1;4;0.25;0.583;8;10;0.8;4;9;13;2;1;0;2;4;22
35;Isaiah Hartenstein;C;25;NYK;1;1;18;1;4;0.25;0;0;0;1;4;0.25;0.25;4;4;1;5;2;7;3;0;2;0;3;6
36;Jaxson Hayes;C;23;LAL;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;2;0
37;Buddy Hield;SG;31;PHI;1;0;11;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0
38;Justin Holiday;SG;34;DEN;1;0;6;0;2;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
39;Joe Ingles;SF;36;ORL;1;0;15;0;2;0;0;1;0;0;1;0;0;1;2;0.5;1;3;4;2;1;0;0;2;1
40;Jonathan Isaac;PF;26;ORL;1;1;29;3;8;0.375;2;4;0.5;1;4;0.25;0.5;2;2;1;2;3;5;1;3;3;0;2;10
41;Reggie Jackson;PG;33;DEN;1;0;9;1;4;0.25;1;2;0.5;0;2;0;0.375;0;0;0;0;1;1;2;0;0;1;2;3
